DATE,Total,Weather,Full_House
20/3/17,57.894,28,0
21/3/17,42.696,26.1,0
22/3/17,39.744,21.8,0
23/3/17,52.6,25.1,0
24/3/17,27.62,24.7,0
25/3/17,52.176,29.7,1
26/3/17,61.524,26.7,1
27/3/17,44.304,31.9,0
28/3/17,38.689,24.3,0
29/3/17,32.825,27.2,0
30/3/17,27.174,17.9,0
31/3/17,28.546,17.9,0
1/4/17,32.506,19,1
2/4/17,41.246,18.2,1
3/4/17,42.344,21.5,1
4/4/17,40.723,24.4,1
5/4/17,38.64,25.4,1
6/4/17,40.206,26.6,1
7/4/17,34.714,26.2,1
8/4/17,48.155,28.1,1
9/4/17,33.544,15.2,1
10/4/17,46.638,17,1
11/4/17,35.904,18.5,1
12/4/17,36.654,19.3,1
13/4/17,31.018,22.2,1
14/4/17,37.637,17.9,1
15/4/17,34.456,17.3,1
16/4/17,30.125,22.6,1
17/4/17,43.43,18.3,1
18/4/17,39.485,20.4,0
19/4/17,44.041,26.9,0
20/4/17,31.699,26.5,0
21/4/17,30.904,20.9,0
22/4/17,37.458,22.5,1
23/4/17,36.934,21.8,1
24/4/17,37.785,24.7,0
25/4/17,42.725,17.7,0
26/4/17,35.876,14.5,0
27/4/17,40.007,15.6,0
28/4/17,34.676,19.8,0
29/4/17,41.151,18.1,1
30/4/17,39.102,17.8,1
1/5/17,35.352,20.4,0
2/5/17,49.68,15.2,0
3/5/17,34.512,15.3,0
4/5/17,36.167,16.9,0
5/5/17,33.898,20.5,0
6/5/17,28.78,20,1
7/5/17,41.857,14.8,1
8/5/17,42.921,15.8,0
9/5/17,34.13,15.9,0
10/5/17,40.396,17.7,0
11/5/17,50.078,16.5,0
12/5/17,40.079,19.5,0
13/5/17,41.975,15.6,1
14/5/17,34.278,15.1,1
15/5/17,41.449,16.9,0
16/5/17,36.459,18.2,0
17/5/17,38.29,17,0
18/5/17,37.508,20.2,0
19/5/17,37.591,17.8,0
20/5/17,32.779,19.3,1
21/5/17,39.029,18.7,1
22/5/17,37.385,20.3,0
23/5/17,36.28,19.3,0
24/5/17,53.372,17.1,0
25/5/17,33.008,18.5,0
26/5/17,31.697,18,0
27/5/17,25.403,17.8,1
28/5/17,34.223,15.3,1
29/5/17,39.499,14.8,0
30/5/17,36.605,13.1,0
31/5/17,46.074,13,0
1/6/17,37.592,13.9,0
2/6/17,35.556,14.7,0
3/6/17,30.769,14.3,1
4/6/17,44.193,15.8,1
5/6/17,40.871,17.5,0
6/6/17,38.741,13.9,0
7/6/17,43.266,14.3,0
8/6/17,39.104,15,0
9/6/17,32.846,15,0
10/6/17,30.666,15.8,1
11/6/17,35.722,15.5,1
12/6/17,47.672,15.9,0
13/6/17,38.182,15.1,0
14/6/17,26.586,17.4,0
15/6/17,44.989,19,0
16/6/17,36.569,17.1,0
17/6/17,32.54,15.5,1
18/6/17,30.735,16.3,1
19/6/17,27.431,16.1,0
20/6/17,40.079,15.8,0
21/6/17,31.574,13.5,0
22/6/17,32.828,14.1,0
23/6/17,37.797,14.9,0
24/6/17,29.33,12.3,1
25/6/17,41.059,14.3,1
26/6/17,41.675,12.6,0
27/6/17,36.497,12.1,0
28/6/17,31.325,14.1,0
29/6/17,31.157,13.7,0
30/6/17,33.962,12.3,0
1/7/17,47.253,12.7,1
2/7/17,35.184,14.3,1
3/7/17,51.939,13.9,1
4/7/17,57.803,16.2,1
5/7/17,40.622,15.8,1
6/7/17,43.512,15,1
7/7/17,34.36,14.2,1
8/7/17,44.022,13.5,1
9/7/17,62.264,14.6,1
10/7/17,43.083,16,1
11/7/17,41.178,14.3,1
12/7/17,53.894,15.1,1
13/7/17,59.835,13.3,1
14/7/17,30.791,15.9,1
15/7/17,32.563,12,1
16/7/17,25.838,12.5,1
17/7/17,30.501,15.3,0
18/7/17,39.644,14.5,0
19/7/17,38.863,13.2,0
20/7/17,44.569,10.7,0
21/7/17,27.106,13.8,0
22/7/17,37.165,12.4,1
23/7/17,38.489,14.1,1
24/7/17,32.102,16.1,0
25/7/17,37.614,17.2,0
26/7/17,33.365,15,0
27/7/17,50.144,14.2,0
28/7/17,40.659,14.3,0
29/7/17,28.773,17.9,1
30/7/17,35.384,18.1,1
31/7/17,40.757,14.8,0
1/8/17,32.582,15.5,0
2/8/17,36.165,12.9,0
3/8/17,29.235,9,0
4/8/17,34.868,12.1,0
5/8/17,25.88,14.2,1
6/8/17,33.306,13,1
7/8/17,34.196,12.3,0
8/8/17,38.62,15,0
9/8/17,27.579,16.8,0
10/8/17,32.945,18.8,0
11/8/17,31.801,16.4,0
12/8/17,30.326,17.9,1
13/8/17,43.044,18.7,1
14/8/17,29.584,20.1,0
15/8/17,29.049,17.5,0
16/8/17,40.137,18.1,0
17/8/17,35.611,15.6,0
18/8/17,35.187,12.2,0
19/8/17,36.982,11.8,1
20/8/17,31.357,13.3,1
21/8/17,29.219,12.7,0
22/8/17,25.237,16.8,0
23/8/17,41.538,18.1,0
24/8/17,45.221,13.3,0
25/8/17,28.127,15,0
26/8/17,22.446,15.3,1
27/8/17,40.652,10.7,1
28/8/17,32.243,11.8,0
29/8/17,28.748,12.9,0
30/8/17,40.138,13.8,0
31/8/17,30.082,16.7,0
1/9/17,25.404,17,0
2/9/17,29.689,18.4,1
3/9/17,36.869,17.2,1
4/9/17,33.996,13.7,0
5/9/17,45.765,13.3,0
6/9/17,28.144,15.1,0
7/9/17,29.622,15.2,0
